310571,16708332,1670321738,5,23500.0
310569,16703217,1670321738,3,15000.0
16705605,16703115,1670560,11,18000.0
16705967,16708143,1670596,15,21000.0
16705968,16708149,1670596,15,31000.0
16705970,16708149,1670321820,20,31000.0
16705973,16703125,1670597,11,30000.0
16706838,16703105,1670322301,9,25000.0
16712419,16708149,1671240,10,31000.0
16712419,16703125,1671240,1,41000.0
16712751,16703115,1671274,3,18000.0
16714136,16708149,1671413,15,31000.0
16714391,16708143,1671439,15,21000.0
16714391,16714387,1671439,10,5000.0
16714399,16708149,1671439,3,18000.0
16715023,16708149,1671502,2,18000.0
16715074,16703108,1671507,2,35000.0
16715201,16703105,1671520,2,18000.0
16715201,16708332,1671520,3,24000.0
16715210,16703105,1671520,2,18000.0
16715210,16703115,1671520,1,18000.0
16715216,16714141,1671521,3,18000.0
16715216,16714401,1671521,3,12000.0
16715228,16708143,1671522,4,21000.0
16715228,16714401,1671522,4,12000.0
16715230,16708149,1671523,2,18000.0
16715246,16708149,1671524,2,18000.0
16715247,16714387,1671524,5,5000.0
16715247,16703115,1671524,2,18000.0
